x1	x2	y
4.518373029	4.80348296	61.83468584
-4.277398946	-1.692877582	-6.635208067
9.055005479	-10.65338842	-19.0808228
16.19089176	-6.264428862	31.02050109
8.176165262	-10.76158671	-22.57935372
-11.33378905	16.23862384	81.45989462
7.833519987	5.432526938	76.39695083
-6.789512107	0.902614567	1.315929037
4.943336995	6.332940227	72.65511573
-18.02093928	11.63455517	31.47412644
13.89563523	-1.935748548	50.3810194
-9.254274787	18.09600618	99.63455336
14.18720591	-1.090659137	56.54252958
-2.431727133	-8.904170329	-45.257934
-15.18117479	9.529700183	27.6101643
-2.298379746	-13.23814881	-71.61254243
2.26403111	-13.32907038	-57.4834748
-19.49356396	16.16815831	54.74994237
-10.95489543	5.806874436	18.21172073
8.149534069	-16.32951519	-57.07490419
-11.5518612	13.32324287	62.74064784
11.53628041	-3.512506457	33.03953302
-6.78905217	8.409748673	47.71149881
-6.198451913	4.900534961	27.9262909
11.91443146	-2.914734494	37.95141012
-8.150956233	7.376601038	36.94131535
3.549459194	-8.126523088	-21.19265408
-11.17836233	-6.597166938	-59.16481839
8.071268838	-4.731860893	14.34658534
